step,loss,grad_norm,learning_rate,num_tokens,completions_mean_length,completions_min_length,completions_max_length,completions_clipped_ratio,completions_mean_terminated_length,completions_min_terminated_length,completions_max_terminated_length,rewards_format_reward_func_mean,rewards_format_reward_func_std,rewards_correctness_reward_func_mean,rewards_correctness_reward_func_std,rewards_cosine_length_penalty_func_mean,rewards_cosine_length_penalty_func_std,rewards_intermediate_overlap_reward_func_mean,rewards_intermediate_overlap_reward_func_std,reward,reward_std,frac_reward_zero_std,completion_length,kl,clip_ratio_low_mean,clip_ratio_low_min,clip_ratio_high_mean,clip_ratio_high_max,clip_ratio_region_mean,epoch
72,-7.450580596923828e-09,0.08926794677972794,1.1752018394169882e-06,243909.0,308.75,209.0,467.0,0.0,308.75,209.0,467.0,0.0,0.0,0.0,0.0,-0.49695584177970886,0.4198833107948303,0.0,0.0,-0.49695584177970886,0.15080900490283966,0.0,308.75,4.8379043960267154e-05,0.0,0.0,0.0,0.0,0.0,0.019271948608137045
73,-1.2665987014770508e-07,0.10744094103574753,1.1020177413231334e-06,247677.0,382.5,225.0,512.0,0.375,304.8000183105469,225.0,439.0,0.0,0.0,0.0,0.0,-0.6881513595581055,0.3129737675189972,0.0,0.0,-0.6881513595581055,0.04681801795959473,0.0,382.5,2.106858067918438e-05,0.0,0.0,0.0,0.0,0.0,0.019539614561027836
74,1.9371509552001953e-07,0.0843888521194458,1.0305368692688175e-06,250736.0,291.875,213.0,512.0,0.125,260.4285888671875,213.0,431.0,0.0,0.0,0.0,0.0,-0.3980165123939514,0.3732316792011261,0.0,0.0,-0.3980165123939514,0.30886930227279663,0.0,291.875,9.870962423974561e-05,0.0,0.0,0.0,0.0,0.0,0.01980728051391863
75,1.5366822481155396e-07,0.07728073000907898,9.608463116858544e-07,254411.0,352.875,242.0,512.0,0.125,330.14288330078125,242.0,426.0,0.0,0.0,0.0,0.0,-0.6533973217010498,0.26062050461769104,0.0,0.0,-0.6533973217010498,0.16124871373176575,0.0,352.875,0.0001372602648643806,0.0,0.0,0.0,0.0,0.0,0.02007494646680942
76,1.1548399925231934e-07,0.10827440023422241,8.930309757836517e-07,258054.0,361.375,290.0,512.0,0.125,339.8571472167969,290.0,373.0,0.0,0.0,0.0,0.0,-0.6647211313247681,0.20604237914085388,0.0,0.0,-0.6647210717201233,0.10707885771989822,0.0,361.375,8.996860606202972e-05,0.0,0.0,0.0,0.0,0.0,0.020342612419700215
77,2.9802322387695312e-08,0.1094585582613945,8.271734841028553e-07,262146.0,405.5,254.0,512.0,0.25,370.0,254.0,511.0,0.0,0.0,0.0,0.0,-0.8159812688827515,0.2274494767189026,0.0,0.0,-0.8159812688827515,0.17198918759822845,0.0,405.5,4.743589420286298e-05,0.0,0.0,0.0,0.0,0.0,0.020610278372591006
78,5.029141902923584e-07,0.08576979488134384,7.633540738525066e-07,265348.0,315.25,216.0,408.0,0.0,315.25,216.0,408.0,0.0,0.0,0.0,0.0,-0.5439816117286682,0.4162495732307434,0.0,0.0,-0.5439816117286682,0.35643529891967773,0.0,315.25,0.0004831900814679102,0.0,0.0,0.0,0.0,0.0,0.0208779443254818
79,2.8312206268310547e-07,0.08599990606307983,7.016504991533727e-07,270046.0,467.25,363.0,512.0,0.375,440.3999938964844,363.0,505.0,0.0,0.0,0.0,0.0,-0.854965090751648,0.12562406063079834,0.0,0.0,-0.854965090751648,0.1076526790857315,0.0,467.25,4.864690714612152e-05,0.0,0.0,0.0,0.0,0.0,0.02114561027837259
80,3.3527612686157227e-08,0.08534044772386551,6.421379363065142e-07,274157.0,412.375,311.0,512.0,0.125,398.14288330078125,311.0,487.0,0.0,0.0,0.0,0.0,-0.8479602336883545,0.2361670434474945,0.0,0.0,-0.8479602336883545,0.2538382411003113,0.0,412.375,2.8835322780196293e-05,0.0,0.0,0.0,0.0,0.0,0.021413276231263382
81,8.940696716308594e-08,0.07676330208778381,5.848888922025553e-07,277791.0,364.25,263.0,512.0,0.125,343.14288330078125,263.0,497.0,0.0,0.0,0.0,0.0,-0.6085286140441895,0.3204427659511566,0.0,0.0,-0.6085286140441895,0.24517525732517242,0.0,364.25,4.2416667213274195e-05,0.0,0.0,0.0,0.0,0.0,0.021680942184154176
82,8.195638656616211e-08,0.08911420404911041,5.299731159831953e-07,281879.0,407.0,281.0,512.0,0.25,372.0,281.0,460.0,0.0,0.0,0.0,0.0,-0.758765459060669,0.2939375042915344,0.0,0.0,-0.758765459060669,0.29168930649757385,0.0,407.0,0.00013178892140786047,0.0,0.0,0.0,0.0,0.0,0.021948608137044967
83,2.3096799850463867e-07,0.4852595925331116,4.774575140626317e-07,285352.0,317.125,277.0,343.0,0.0,317.125,277.0,343.0,0.0,0.0,0.0,0.0,-0.47788819670677185,0.16876783967018127,0.0,0.0,-0.47788816690444946,0.157600998878479,0.0,317.125,9.017397189836629e-05,0.0,0.0,0.0,0.0,0.0,0.02221627408993576
84,3.725290298461914e-08,0.11619139462709427,4.27406068612396e-07,288538.0,308.75,250.0,412.0,0.0,308.75,250.0,412.0,0.0,0.0,0.0,0.0,-0.5350382328033447,0.19795803725719452,0.0,0.0,-0.5350382328033447,0.16566313803195953,0.0,308.75,0.00014813181269346387,0.0,0.0,0.0,0.0,0.0,0.022483940042826552
85,1.4156103134155273e-07,0.09889334440231323,3.798797596089351e-07,292055.0,358.125,185.0,512.0,0.125,336.14288330078125,185.0,512.0,0.0,0.0,0.0,0.0,-0.6111717224121094,0.4148610234260559,0.0,0.0,-0.6111717224121094,0.16370178759098053,0.0,358.125,0.00020006171234854264,0.0,0.0,0.0,0.0,0.0,0.022751605995717343
86,-5.21540641784668e-08,0.17691895365715027,3.3493649053890325e-07,295836.0,369.625,240.0,512.0,0.25,322.16668701171875,240.0,388.0,0.0,0.0,0.0,0.0,-0.7029109597206116,0.3322145938873291,0.0,0.0,-0.7029109597206116,0.29410409927368164,0.0,369.625,7.656322679849836e-05,0.0,0.0,0.0,0.0,0.0,0.023019271948608137
87,9.685754776000977e-08,0.0655352771282196,2.9263101785268253e-07,298859.0,301.375,177.0,431.0,0.0,301.375,177.0,431.0,0.0,0.0,0.0,0.0,-0.33096808195114136,0.26222360134124756,0.0,0.0,-0.33096808195114136,0.21892811357975006,0.0,301.375,4.556863279958634e-05,0.0,0.0,0.0,0.0,0.0,0.023286937901498928
88,3.5390257835388184e-07,0.15205225348472595,2.53014884252083e-07,302064.0,313.125,155.0,512.0,0.25,246.83334350585938,155.0,418.0,0.0,0.0,0.0,0.0,-0.4705655872821808,0.4643195867538452,0.0,0.0,-0.4705655574798584,0.19416210055351257,0.0,313.125,0.00028989648671995383,0.0,0.0,0.0,0.0,0.0,0.023554603854389723
89,1.7508864402770996e-07,0.08683079481124878,2.1613635589349756e-07,304807.0,261.375,123.0,512.0,0.125,225.57144165039062,123.0,366.0,0.0,0.0,0.0,0.0,-0.32507622241973877,0.4039004445075989,0.0,0.0,-0.3250761926174164,0.2550952732563019,0.0,261.375,0.00018946408249576052,0.0,0.0,0.0,0.0,0.0,0.023822269807280513
90,4.76837158203125e-07,0.08877196162939072,1.8204036358303173e-07,308289.0,344.25,230.0,486.0,0.0,344.25,230.0,486.0,0.0,0.0,0.0,0.0,-0.5793342590332031,0.32015207409858704,0.0,0.0,-0.5793342590332031,0.3404913544654846,0.0,344.25,0.0004872340003316822,0.0,0.0,0.0,0.0,0.0,0.024089935760171308
91,3.129243850708008e-07,0.09031674265861511,1.507684480352292e-07,311470.0,295.625,218.0,413.0,0.0,295.625,218.0,413.0,0.0,0.0,0.0,0.0,-0.375063419342041,0.26747483015060425,0.0,0.0,-0.375063419342041,0.2047654241323471,0.0,295.625,0.00032444414495103047,0.0,0.0,0.0,0.0,0.0,0.0243576017130621
92,4.544854164123535e-07,0.10856638848781586,1.223587092621162e-07,314402.0,280.0,148.0,392.0,0.0,280.0,148.0,392.0,0.0,0.0,0.0,0.0,-0.2736709713935852,0.29915088415145874,0.0,0.0,-0.2736709713935852,0.14715582132339478,0.0,280.0,0.00046237804212978517,0.0,0.0,0.0,0.0,0.0,0.02462526766595289
93,2.086162567138672e-07,0.10048539191484451,9.684576015420277e-08,317945.0,316.375,222.0,449.0,0.0,316.375,222.0,449.0,0.0,0.0,0.0,0.0,-0.4550471603870392,0.33692672848701477,0.0,0.0,-0.4550471603870392,0.15044763684272766,0.0,316.375,0.00015479441981369746,0.0,0.0,0.0,0.0,0.0,0.024892933618843684
94,3.2505198532817303e-07,0.04621008411049843,7.426068431000883e-08,323042.0,482.125,445.0,512.0,0.375,464.20001220703125,445.0,509.0,0.0,0.0,0.0,0.0,-0.9807921648025513,0.04961046576499939,0.0,0.0,-0.9807921648025513,0.03449258953332901,0.5,482.125,8.953120243404555e-06,0.0,0.0,0.0,0.0,0.0,0.025160599571734475
95,1.7881393432617188e-07,0.09383593499660492,5.463099816548578e-08,327136.0,366.25,255.0,512.0,0.25,317.66668701171875,255.0,387.0,0.0,0.0,0.0,0.0,-0.6227529048919678,0.3547910451889038,0.0,0.0,-0.6227529048919678,0.37224215269088745,0.0,366.25,0.00011246450458202162,0.0,0.0,0.0,0.0,0.0,0.02542826552462527
96,1.0934296312825609e-07,0.062019214034080505,3.798061746947995e-08,330476.0,339.5,110.0,512.0,0.25,282.0,110.0,477.0,0.0,0.0,0.0,0.0,-0.6164053678512573,0.4587269425392151,0.0,0.0,-0.6164053678512573,0.1570175141096115,0.5,339.5,8.513494117323717e-05,0.0,0.0,0.0,0.0,0.0,0.02569593147751606
97,2.0906329154968262e-05,0.051804326474666595,2.4329828146074096e-08,334412.0,383.5,223.0,512.0,0.5,255.0,223.0,309.0,0.0,0.0,0.0,0.0,-0.5754142999649048,0.46252524852752686,0.0,0.0,-0.5754142999649048,0.06856165081262589,0.0,383.5,4.392251759099963e-05,0.0,0.0,0.0,0.0,0.0,0.025963597430406854
98,-3.5390257835388184e-08,0.22158540785312653,1.3695261579316776e-08,337627.0,321.875,149.0,512.0,0.125,294.71429443359375,149.0,413.0,0.0,0.0,0.0,0.0,-0.5148909091949463,0.4242400825023651,0.0,0.0,-0.5148909091949463,0.14014920592308044,0.0,321.875,0.00014000652959111903,0.0,0.0,0.0,0.0,0.0,0.026231263383297645
99,4.917383193969727e-07,0.09064577519893646,6.089874350439507e-09,340752.0,307.125,160.0,512.0,0.125,277.8571472167969,160.0,390.0,0.0,0.0,0.0,0.0,-0.5006434917449951,0.3991674482822418,0.0,0.0,-0.5006434321403503,0.268951416015625,0.0,307.125,0.0004719361591583038,0.0,0.0,0.0,0.0,0.0,0.026498929336188436
100,1.043081283569336e-07,0.08712814003229141,1.5229324522605949e-09,344413.0,355.125,251.0,464.0,0.0,355.125,251.0,464.0,0.0,0.0,0.0,0.0,-0.6754410266876221,0.30946090817451477,0.0,0.0,-0.6754410266876221,0.2631111443042755,0.0,355.125,0.0001756692588514852,0.0,0.0,0.0,0.0,0.0,0.02676659528907923
100,4760.1887,0.168,0.021,0.0,3.1963158750869527e-07,0.02676659528907923
